project_id,financial_anomaly_score,financial_anomaly_percentile,financial_anomaly_flag,primary_reason,secondary_reason,tertiary_reason,peer_cost_deviation_pct,peer_unit_cost_zscore,model_version,mode,scored_at
MPLADS-000001,12.23,40.88,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,1.25,-0.65,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000002,7.26,25.58,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-14.48,-0.27,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000003,12.15,40.64,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-15.27,0.0,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000004,36.46,78.08,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,-5.27,0.04,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000005,2.63,7.3,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,0.94,-0.41,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000006,12.53,41.94,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-24.98,-1.03,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000007,4.64,14.82,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-0.28,-0.4,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000008,11.25,38.32,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,20.02,0.1,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000009,32.77,74.48,False,Atypical cost per unit (+1448.0% vs peer median rate),Normal peer disbursement pattern,Standard schedule compliance,24.01,20.4,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000010,46.42,85.76,False,Atypical cost per unit (+1216.4% vs peer median rate),High unverified disbursement rate (100.0% unverified payments),Standard schedule compliance,-7.0,21.12,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000011,12.96,42.88,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-8.12,0.16,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000012,52.95,89.24,False,Financial metrics aligned with peer expectations,Normal peer disbursement pattern,Standard schedule compliance,29.38,-0.47,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000013,1.99,5.28,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-11.0,-0.11,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000014,12.92,42.78,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,5.73,-0.55,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000015,17.0,52.94,False,Irregular payment intervals (33.3% timing anomaly rate),Normal peer disbursement pattern,Standard schedule compliance,-9.31,-0.72,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000016,89.32,98.14,True,Elevated peer-adjusted cost (+348.4% vs peer median for work type),Accelerated disbursement velocity (4.1x peer median disbursement speed),Atypical cost per unit (+122.0% vs peer median rate),348.43,1.56,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000017,6.3,22.04,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,-28.5,-0.9,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
MPLADS-000018,15.62,49.64,False,Financial metrics aligned with peer expectations,Consistent contract execution,No significant deviation from SOR rates,14.91,-0.13,1.0.0,early_warning,2026-09-06T06:12:06.212903+00:00
