project_id,graph_anomaly_score,graph_anomaly_percentile,is_graph_anomaly,clique_community_id,pair_project_count,triad_project_count,agency_contractor_hhi,corporate_ties_composite,contractor_degree,baseline1_score,primary_reason,secondary_reason,tertiary_reason
MPLADS-000001,76.94,97.18,1,33,1,1,0.1111,0,0.17,15.0,RECURRING_EXCLUSIVE_PAIRING,HIGH_CONSTITUENCY_AGENCY_CAPTURE,PRE_AWARD_GOVERNANCE_INSTABILITY
MPLADS-000002,16.58,25.58,0,19,1,1,0.2,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000003,18.74,29.54,0,34,1,1,0.2,0,-0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000004,26.37,42.88,0,6,1,1,0.1429,0,0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000005,12.37,17.94,0,33,1,1,0.25,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000006,41.29,66.4,0,26,1,1,0.2,0,0.33,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000007,32.06,52.36,0,31,1,1,0.1429,0,-0.67,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000008,17.22,26.74,0,10,1,1,0.2,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000009,72.86,95.26,1,21,1,1,0.0833,0,-1.5,15.0,RECURRING_EXCLUSIVE_PAIRING,HUB_CENTRALITY_SPIKE,NONE
MPLADS-000010,18.2,28.56,0,17,1,1,0.2,0,1.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000011,43.97,69.78,0,0,1,1,0.25,0,0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000012,30.48,49.94,0,27,1,1,0.28,0,0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000013,13.23,19.54,0,30,1,1,0.1667,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000014,35.79,58.42,0,27,1,1,0.2,0,0.5,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000015,39.11,63.4,0,24,1,1,0.3333,0,0.17,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000016,49.38,76.34,0,23,1,1,0.2,0,1.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000017,19.73,31.36,0,25,1,1,0.1667,0,0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000018,4.68,4.62,0,17,1,1,0.1667,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000019,65.38,89.92,0,11,1,1,0.0833,0,-0.5,0.0,PRE_AWARD_GOVERNANCE_INSTABILITY,NONE,NONE
MPLADS-000020,76.76,97.08,1,26,1,1,0.1667,2,1.67,35.0,CORPORATE_COLLUSION_NETWORK,HUB_CENTRALITY_SPIKE,NONE
MPLADS-000021,53.98,81.36,0,5,1,1,0.1,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000022,24.67,39.96,0,28,1,1,0.2,0,0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000023,42.31,67.74,0,2,1,1,0.25,0,-0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000024,3.69,3.32,0,16,1,1,0.2,0,-0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000025,55.17,82.56,0,4,1,1,0.25,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000026,54.33,81.74,0,20,1,1,0.5,0,-0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000027,11.82,16.94,0,2,1,1,0.2,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000028,65.28,89.84,0,15,1,1,0.2,2,1.0,35.0,CORPORATE_COLLUSION_NETWORK,NONE,NONE
MPLADS-000029,29.22,47.76,0,1,1,1,0.5,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000030,51.34,78.56,0,25,1,1,1.0,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000031,11.92,17.12,0,24,1,1,0.25,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000032,34.01,55.54,0,0,1,1,0.25,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000033,5.5,5.96,0,28,1,1,0.2,0,0.0,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000034,27.06,44.12,0,26,1,1,0.2,0,0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000035,19.72,31.34,0,9,1,1,0.1837,0,0.5,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000036,48.41,75.12,0,7,1,1,0.1429,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000037,1.43,0.84,0,1,1,1,0.1667,0,0.33,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000038,24.86,40.26,0,26,1,1,0.3333,0,0.17,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000039,22.04,35.46,0,7,1,1,0.2,0,0.17,15.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000040,24.45,39.56,0,2,1,1,0.25,0,-0.83,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
MPLADS-000041,7.62,9.42,0,7,1,1,0.25,0,0.67,0.0,NORMAL_GRAPH_TOPOLOGY,NONE,NONE
