project_id,payment_anomaly_score,payment_anomaly_percentile,is_payment_anomaly,payment_unverified_rate,payment_unverified_exposure,payment_smurfing_score,payment_velocity_ratio,payment_lumpiness_index,payment_timing_risk,baseline1_score,primary_reason,secondary_reason,tertiary_reason
MPLADS-000001,25.74,41.22,0,0.0,0.0,0.0,0.9788,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000002,31.58,51.28,0,0.0,0.0,0.6065,0.9673,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000003,27.66,43.96,0,0.0,0.0,0.0,0.8918,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000004,47.31,75.28,0,0.0,0.0,0.0,0.8638,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000005,17.87,30.72,0,0.0,0.0,0.1057,0.8917,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000006,13.71,23.76,0,0.0,0.0,0.0,0.89,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000007,14.04,24.42,0,0.0,0.0,0.0,0.8896,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000008,21.24,35.5,0,0.0,0.0,0.0,0.8503,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000009,35.99,59.48,0,0.0,0.0,0.0,0.9708,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000010,82.04,97.3,1,1.0,473000.0,0.0,0.9594,0.25,0.0,50.0,UNVERIFIED_DISBURSEMENT_BURST,NONE,NONE
MPLADS-000011,32.46,52.98,0,0.0,0.0,0.0,0.8871,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000012,38.43,63.84,0,0.0,0.0,0.0004,0.8587,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000013,0.78,0.84,0,0.0,0.0,0.0,0.9516,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000014,37.31,61.86,0,0.0,0.0,0.0,0.9485,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000015,61.95,83.92,0,0.0,0.0,0.0561,0.8824,0.2222,0.231,25.0,STATUTORY_CEILING_SMURFING,PAYMENT_TIMING_ANOMALY,NONE
MPLADS-000016,45.47,73.66,0,0.0,0.0,0.0,0.8703,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000017,16.11,27.88,0,0.0,0.0,0.0,0.9249,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000018,41.85,68.94,0,0.0,0.0,0.0,0.8508,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000019,25.26,40.7,0,0.0,0.0,0.0,0.895,0.2223,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000020,40.64,67.18,0,0.0,0.0,0.0,0.9255,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000021,44.28,72.3,0,0.0,0.0,0.3966,0.8646,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000022,30.2,48.56,0,0.0,0.0,0.0,0.8874,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000023,20.63,34.76,0,0.0,0.0,0.0,0.9265,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000024,78.28,95.46,1,0.0,0.0,0.0,0.9492,0.2222,0.231,0.0,PAYMENT_TIMING_ANOMALY,NONE,NONE
MPLADS-000025,95.08,99.72,1,0.0,0.0,0.0,1.5875,0.2222,0.231,0.0,PAYMENT_TIMING_ANOMALY,NONE,NONE
MPLADS-000026,81.78,97.18,1,1.0,9898000.0,0.0,0.873,0.2222,0.0,50.0,UNVERIFIED_DISBURSEMENT_BURST,NONE,NONE
MPLADS-000027,10.65,17.96,0,0.0,0.0,0.0,0.9701,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000028,38.01,63.12,0,0.0,0.0,0.0,0.8564,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000029,16.94,29.28,0,0.0,0.0,0.0,0.9701,0.2222,0.0,25.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000030,37.15,61.56,0,0.0,0.0,0.0,0.9778,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000031,38.7,64.28,0,0.0,0.0,0.0,0.8788,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000032,39.96,66.26,0,0.0,0.0,0.0,0.8797,0.25,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
MPLADS-000033,48.65,76.18,0,0.0,0.0,0.0,0.9775,0.2222,0.0,0.0,NORMAL_DISBURSEMENT_SCHEDULE,NONE,NONE
