project_id,progress_anomaly_score,progress_anomaly_percentile,is_progress_anomaly,financial_minus_physical_progress,latest_physical_progress,latest_financial_progress,duration_overrun_days,ghost_work_index,execution_stall_score,baseline1_score,primary_reason,secondary_reason,tertiary_reason
MPLADS-000001,36.77,67.2,0,-1.2,99.1,97.9,34.0,0.0,0.0092,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000002,37.26,67.9,0,26.2,70.5,96.7,27.0,0.0,0.0135,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000003,22.48,42.3,0,14.4,74.8,89.2,13.0,0.0,0.0009,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000004,43.04,76.18,0,-3.3,89.7,86.4,30.0,0.0,0.029,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000005,11.7,20.7,0,2.8,86.4,89.2,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000006,26.79,50.4,0,-7.1,96.1,89.0,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000007,9.08,15.3,0,-5.3,94.3,89.0,3.0,0.0,0.0009,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000008,19.68,36.86,0,-8.2,93.2,85.0,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000009,10.24,17.68,0,7.0,90.1,97.1,10.0,0.0,0.0035,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000010,83.12,97.4,1,9.6,86.3,95.9,0.0,0.0,0.0,0.0,INSPECTION_DOCUMENTATION_DEFICIT,NONE,NONE
MPLADS-000011,33.27,61.38,0,-1.6,90.3,88.7,18.0,0.0,0.0003,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000012,42.35,75.24,0,-1.4,87.3,85.9,22.0,0.0,0.0214,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000013,17.9,33.34,0,0.8,94.4,95.2,20.0,0.0,0.004,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000014,19.31,36.14,0,9.9,85.0,94.9,32.0,0.0,0.0027,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000015,4.25,5.86,0,13.1,75.1,88.2,11.0,0.0,0.0042,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000016,5.04,7.36,0,6.8,80.2,87.0,10.0,0.0,0.0044,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000017,6.25,9.66,0,16.0,76.5,92.5,20.0,0.0,0.0081,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000018,48.59,81.72,0,-14.6,99.7,85.1,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000019,17.97,33.48,0,14.8,74.7,89.5,17.0,0.0,0.009,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000020,3.07,3.68,0,4.4,88.2,92.6,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000021,25.77,48.58,0,-9.4,95.9,86.5,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000022,9.69,16.54,0,12.9,75.8,88.7,12.0,0.0,0.0008,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000023,6.97,11.12,0,7.7,84.9,92.6,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000024,33.28,61.4,0,6.8,88.1,94.9,9.0,0.0,0.0084,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000025,74.25,93.38,0,79.8,78.9,158.7,0.0,0.0,0.0,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000026,73.77,93.08,0,65.6,21.7,87.3,0.0,0.0,0.0,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,INSPECTION_DOCUMENTATION_DEFICIT,NONE
MPLADS-000027,1.8,1.58,0,13.8,83.2,97.0,9.0,0.0,0.0027,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000028,30.83,57.36,0,14.8,70.8,85.6,5.0,0.0,0.0003,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000029,15.33,28.12,0,22.0,75.0,97.0,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000030,15.41,28.3,0,15.8,82.0,97.8,19.0,0.0,0.0087,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000031,32.87,60.76,0,-7.9,95.8,87.9,31.0,0.0,0.0016,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000032,48.69,81.78,0,-4.7,92.7,88.0,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000033,41.88,74.68,0,21.7,76.0,97.7,9.0,0.0,0.0097,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000034,12.89,23.12,0,-8.3,93.5,85.2,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000035,4.43,6.18,0,10.4,81.6,92.0,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000036,62.61,86.84,0,59.2,83.7,142.9,33.0,0.0,0.0162,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000037,77.74,94.78,0,30.7,57.8,88.5,320.0,0.0,0.4802,75.0,EXTREME_DURATION_OVERRUN,STALLED_EXECUTION_TRAJECTORY,SEVERE_PHYSICAL_FINANCIAL_GAP
MPLADS-000038,35.9,65.78,0,-3.0,97.6,94.6,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000039,35.57,65.16,0,-1.9,98.8,96.9,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000040,16.18,29.88,0,8.3,89.0,97.3,12.0,0.0,0.0011,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000041,5.49,8.24,0,6.1,80.1,86.2,5.0,0.0,0.001,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000042,18.22,33.94,0,11.5,75.2,86.7,2.0,0.0,0.0001,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000043,41.44,74.08,0,-6.9,94.2,87.3,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000044,20.82,39.1,0,-1.6,93.8,92.2,24.0,0.0,0.0051,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000045,65.78,87.8,0,31.8,11.0,42.8,0.0,0.0,0.0,50.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000046,61.16,86.22,0,46.4,85.7,132.1,12.0,0.0,0.0002,50.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000047,27.21,51.18,0,9.5,80.9,90.4,31.0,0.0,0.0159,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000048,18.02,33.56,0,9.5,80.6,90.1,19.0,0.0,0.009,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000049,7.22,11.6,0,3.7,85.1,88.8,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000050,10.79,18.82,0,-2.3,97.1,94.8,12.0,0.0,0.0037,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000051,15.85,29.2,0,2.2,83.6,85.8,12.0,0.0,0.0029,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000052,79.32,95.48,1,42.9,50.7,93.6,320.0,0.0,0.5171,75.0,EXTREME_DURATION_OVERRUN,SEVERE_PHYSICAL_FINANCIAL_GAP,STALLED_EXECUTION_TRAJECTORY
MPLADS-000053,21.45,40.3,0,15.0,82.8,97.8,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000054,34.12,62.82,0,20.8,76.4,97.2,24.0,0.0,0.0007,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000055,17.14,31.84,0,7.3,77.8,85.1,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000056,28.92,54.18,0,19.3,70.3,89.6,29.0,0.0,0.0075,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000057,43.02,76.16,0,-0.1,88.4,88.3,31.0,0.0,0.0007,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000058,0.97,0.62,0,6.5,86.3,92.8,4.0,0.0,0.0007,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000059,41.27,73.86,0,7.9,80.2,88.1,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000060,13.47,24.3,0,10.2,83.9,94.1,5.0,0.0,0.0019,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000061,13.13,23.58,0,15.3,75.4,90.7,18.0,0.0,0.0015,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000062,14.84,27.1,0,2.4,83.8,86.2,7.0,0.0,0.0007,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000063,52.3,83.6,0,47.5,88.6,136.1,0.0,0.0,0.0,50.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000064,85.78,98.4,1,25.5,69.5,95.0,630.0,0.0,1.1415,25.0,EXTREME_DURATION_OVERRUN,STALLED_EXECUTION_TRAJECTORY,NONE
MPLADS-000065,64.86,87.4,0,63.7,75.4,139.1,20.0,0.0,0.0223,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000066,18.17,33.86,0,14.8,74.8,89.6,20.0,0.0,0.0018,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000067,70.01,90.66,0,35.8,19.2,55.0,33.0,0.0,0.0609,50.0,SEVERE_PHYSICAL_FINANCIAL_GAP,ABANDONED_WORK_SUSPICION,NONE
MPLADS-000068,50.13,82.6,0,44.2,87.8,132.0,0.0,0.0,0.0,50.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000069,3.52,4.52,0,12.1,85.4,97.5,8.0,0.0,0.0023,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000070,43.72,76.96,0,4.9,91.6,96.5,22.0,0.0,0.0204,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000071,40.95,73.38,0,3.9,81.6,85.5,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000072,73.19,92.76,0,69.9,28.6,98.5,34.0,0.0,0.0428,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,INSPECTION_DOCUMENTATION_DEFICIT,NONE
MPLADS-000073,62.08,86.64,0,71.2,71.7,142.9,13.0,0.0,0.0039,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000074,15.27,28.0,0,3.8,84.6,88.4,13.0,0.0,0.0006,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000075,55.88,84.8,0,52.9,79.3,132.2,26.0,0.0,0.0104,75.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000076,0.76,0.4,0,11.5,80.3,91.8,1.0,0.0,0.0003,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000077,21.64,40.72,0,4.5,86.7,91.2,32.0,0.0,0.0146,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000078,19.26,36.04,0,-4.1,99.0,94.9,19.0,0.0,0.0015,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000079,38.11,69.24,0,0.9,93.6,94.5,20.0,0.0,0.0004,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000080,25.34,47.78,0,-8.7,97.9,89.2,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000081,18.77,35.06,0,4.3,84.3,88.6,10.0,0.0,0.004,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000082,5.25,7.74,0,-0.4,88.1,87.7,7.0,0.0,0.0018,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000083,45.21,78.66,0,13.0,74.0,87.0,25.0,0.0,0.0287,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000084,81.69,96.88,1,19.9,66.2,86.1,480.0,0.0,0.7842,25.0,EXTREME_DURATION_OVERRUN,STALLED_EXECUTION_TRAJECTORY,NONE
MPLADS-000085,14.04,25.46,0,0.5,91.0,91.5,12.0,0.0,0.0023,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000086,41.34,73.94,0,-1.1,92.3,91.2,3.0,0.0,0.0026,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000087,19.28,36.1,0,19.5,71.5,91.0,12.0,0.0,0.0036,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000088,80.79,96.44,1,69.6,16.0,85.6,24.0,0.0,0.0545,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,ABANDONED_WORK_SUSPICION,INSPECTION_DOCUMENTATION_DEFICIT
MPLADS-000089,24.0,45.26,0,14.5,70.8,85.3,11.0,0.0,0.0047,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000090,39.26,70.92,0,-2.8,93.4,90.6,9.0,0.0,0.0079,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000091,33.02,61.0,0,25.4,70.4,95.8,9.0,0.0,0.0016,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000092,15.78,29.06,0,7.9,79.8,87.7,23.0,0.0,0.0063,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000093,4.33,6.02,0,9.8,83.1,92.9,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000094,21.2,39.82,0,1.5,90.6,92.1,28.0,0.0,0.0114,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000095,62.93,86.98,0,62.3,95.5,157.8,8.0,0.0,0.0013,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,NONE,NONE
MPLADS-000096,8.42,13.96,0,7.3,79.5,86.8,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000097,70.31,90.92,0,24.7,20.0,44.7,0.0,0.0,0.0,0.0,ELEVATED_PROGRESS_VOLATILITY,NONE,NONE
MPLADS-000098,32.52,60.22,0,-11.3,99.1,87.8,33.0,0.0,0.0069,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000099,26.08,49.16,0,2.4,94.1,96.5,14.0,0.0,0.0004,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000100,17.08,31.7,0,-6.8,97.6,90.8,13.0,0.0,0.0018,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000101,6.88,10.94,0,4.4,91.3,95.7,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000102,45.36,78.8,0,-7.9,97.7,89.8,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000103,68.6,89.44,0,59.5,30.2,89.7,6.0,0.0,0.0082,75.0,SEVERE_PHYSICAL_FINANCIAL_GAP,INSPECTION_DOCUMENTATION_DEFICIT,NONE
MPLADS-000104,3.72,4.88,0,8.8,86.1,94.9,9.0,0.0,0.0019,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000105,12.47,22.22,0,11.1,79.5,90.6,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000106,41.25,73.82,0,1.1,95.8,96.9,15.0,0.0,0.0003,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000107,30.74,57.22,0,24.6,72.4,97.0,8.0,0.0,0.0042,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000108,28.35,53.2,0,-3.0,97.3,94.3,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000109,34.14,62.84,0,14.7,78.8,93.5,17.0,0.0,0.0003,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000110,39.1,70.74,0,11.2,84.5,95.7,0.0,0.0,0.0,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
MPLADS-000111,6.78,10.76,0,3.9,81.8,85.7,18.0,0.0,0.0043,0.0,NORMAL_EXECUTION_PROGRESS,NONE,NONE
