project_id,payment_count,total_paid,average_payment,median_payment,min_payment,max_payment,payment_amount_std,first_payment_date,last_payment_date,payment_span_days,average_days_between_payments,median_days_between_payments,payment_interval_std,payment_velocity_mean,payment_velocity_max,payment_frequency_mean,payment_concentration_max,duplicate_payment_count,duplicate_payment_rate,payment_timing_anomaly_count,payment_timing_anomaly_rate,unverified_payment_count,unverified_payment_rate,round_number_payment_count,round_number_payment_rate,final_installment_count,final_installment_amount,final_installment_share
MPLADS-000001,3,2590000.0,863333.33,863300.0,863300.0,863400.0,57.74,2023-02-23,2023-07-16,143,71.5,71.5,0.71,14388.89,14390.0,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,863400.0,0.3334
MPLADS-000002,3,2394000.0,798000.0,798000.0,798000.0,798000.0,0.0,2023-11-01,2024-03-18,138,69.0,69.0,0.0,13300.0,13300.0,60.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,798000.0,0.3333
MPLADS-000003,2,643000.0,321500.0,321500.0,321500.0,321500.0,0.0,2022-04-15,2022-06-06,52,52.0,52.0,0.0,7144.44,7144.44,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,321500.0,0.5
MPLADS-000004,3,10213000.0,3404333.33,3404300.0,3404300.0,3404400.0,57.74,2022-12-04,2023-09-17,287,143.5,143.5,0.71,25532.5,25533.0,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,3404400.0,0.3333
MPLADS-000005,3,2182000.0,727333.33,727300.0,727300.0,727400.0,57.74,2022-07-17,2022-10-25,100,50.0,50.0,0.0,13637.5,13638.75,53.3,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,727400.0,0.3334
MPLADS-000006,3,1076000.0,358666.67,358700.0,358600.0,358700.0,57.74,2023-12-04,2024-03-11,98,49.0,49.0,0.0,7173.33,7174.0,50.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,358600.0,0.3333
MPLADS-000007,3,2803000.0,934333.33,934300.0,934300.0,934400.0,57.74,2022-06-05,2022-10-25,142,71.0,71.0,0.0,13347.62,13348.57,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,934400.0,0.3334
MPLADS-000008,3,3290000.0,1096666.67,1096700.0,1096600.0,1096700.0,57.74,2022-08-14,2022-12-29,137,68.5,68.5,0.71,15666.66,15667.14,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,1096600.0,0.3333
MPLADS-000009,3,3988000.0,1329333.33,1329300.0,1329300.0,1329400.0,57.74,2023-09-25,2024-02-19,147,73.5,73.5,0.71,18990.48,18991.43,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,1329400.0,0.3334
MPLADS-000010,2,473000.0,236500.0,236500.0,236500.0,236500.0,0.0,2022-05-10,2022-06-07,28,28.0,28.0,0.0,7883.33,7883.33,30.0,0.5,0,0.0,0,0.0,2,1.0,0,0.0,1,236500.0,0.5
MPLADS-000011,2,432000.0,216000.0,216000.0,216000.0,216000.0,0.0,2023-03-07,2023-04-15,39,39.0,39.0,0.0,7200.0,7200.0,30.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,216000.0,0.5
MPLADS-000012,3,14705000.0,4901666.67,4901700.0,4901600.0,4901700.0,57.74,2024-05-04,2025-02-10,282,141.0,141.0,0.0,36762.5,36762.75,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,4901600.0,0.3333
MPLADS-000013,3,2066000.0,688666.67,688700.0,688600.0,688700.0,57.74,2023-03-27,2023-07-25,120,60.0,60.0,0.0,12912.5,12913.12,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,688600.0,0.3333
MPLADS-000014,2,866000.0,433000.0,433000.0,433000.0,433000.0,0.0,2022-10-14,2022-12-14,61,61.0,61.0,0.0,9622.22,9622.22,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,433000.0,0.5
MPLADS-000015,3,2153000.0,717666.67,717700.0,717600.0,717700.0,57.74,2023-01-08,2023-05-16,128,64.0,64.0,0.0,11961.11,11961.67,60.0,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0,1,717600.0,0.3333
MPLADS-000016,3,13185000.0,4395000.0,4395000.0,4395000.0,4395000.0,0.0,2023-01-14,2023-06-10,147,73.5,73.5,0.71,62785.71,62785.71,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,4395000.0,0.3333
MPLADS-000017,3,1946000.0,648666.67,648700.0,648600.0,648700.0,57.74,2023-05-23,2023-10-04,134,67.0,67.0,0.0,10811.11,10811.67,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,648600.0,0.3333
MPLADS-000018,2,884000.0,442000.0,442000.0,442000.0,442000.0,0.0,2022-08-10,2022-09-20,41,41.0,41.0,0.0,9822.22,9822.22,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,442000.0,0.5
MPLADS-000019,3,1985000.0,661666.67,661700.0,661600.0,661700.0,57.74,2022-05-25,2022-10-24,152,76.0,76.0,0.0,9452.38,9452.86,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,661600.0,0.3333
MPLADS-000020,3,13494000.0,4498000.0,4498000.0,4498000.0,4498000.0,0.0,2023-01-09,2023-05-20,131,65.5,65.5,0.71,64257.14,64257.14,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,4498000.0,0.3333
MPLADS-000021,3,2132000.0,710666.67,710700.0,710600.0,710700.0,57.74,2022-05-28,2022-08-09,73,36.5,36.5,0.71,17766.67,17767.5,40.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,710600.0,0.3333
MPLADS-000022,2,954000.0,477000.0,477000.0,477000.0,477000.0,0.0,2024-01-06,2024-02-26,51,51.0,51.0,0.0,10600.0,10600.0,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,477000.0,0.5
MPLADS-000023,3,1525000.0,508333.33,508300.0,508300.0,508400.0,57.74,2023-07-21,2023-10-28,99,49.5,49.5,0.71,10166.67,10168.0,50.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,508400.0,0.3334
MPLADS-000024,3,16257000.0,5419000.0,5419000.0,5419000.0,5419000.0,0.0,2023-03-26,2023-12-24,273,136.5,136.5,0.71,40642.5,40642.5,133.3,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0,1,5419000.0,0.3333
MPLADS-000025,3,24766000.0,8255333.33,8255300.0,8255300.0,8255400.0,57.74,2023-03-13,2023-12-05,267,133.5,133.5,0.71,61915.0,61915.5,133.3,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0,1,8255400.0,0.3333
MPLADS-000026,3,9898000.0,3299333.33,3299300.0,3299300.0,3299400.0,57.74,2023-11-12,2024-07-26,257,128.5,128.5,0.71,24745.0,24745.5,133.3,0.3333,0,0.0,0,0.0,3,1.0,0,0.0,1,3299400.0,0.3333
MPLADS-000027,3,2566000.0,855333.33,855300.0,855300.0,855400.0,57.74,2023-06-05,2023-10-09,126,63.0,63.0,0.0,14255.56,14256.67,60.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,855400.0,0.3334
MPLADS-000028,2,829000.0,414500.0,414500.0,414500.0,414500.0,0.0,2022-04-15,2022-06-02,48,48.0,48.0,0.0,9211.11,9211.11,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,414500.0,0.5
MPLADS-000029,3,2304000.0,768000.0,768000.0,768000.0,768000.0,0.0,2022-11-18,2023-03-01,103,51.5,51.5,0.71,14400.0,14400.0,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,768000.0,0.3333
MPLADS-000030,3,3745000.0,1248333.33,1248300.0,1248300.0,1248400.0,57.74,2023-01-30,2023-07-02,153,76.5,76.5,0.71,17833.34,17834.29,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,1248400.0,0.3334
MPLADS-000031,2,921000.0,460500.0,460500.0,460500.0,460500.0,0.0,2022-10-19,2022-12-19,61,61.0,61.0,0.0,10233.33,10233.33,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,460500.0,0.5
MPLADS-000032,2,519000.0,259500.0,259500.0,259500.0,259500.0,0.0,2022-08-17,2022-09-13,27,27.0,27.0,0.0,8650.0,8650.0,30.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,259500.0,0.5
MPLADS-000033,3,9504000.0,3168000.0,3168000.0,3168000.0,3168000.0,0.0,2022-11-13,2023-08-13,273,136.5,136.5,0.71,23760.0,23760.0,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,3168000.0,0.3333
MPLADS-000034,3,2720000.0,906666.67,906700.0,906600.0,906700.0,57.74,2023-04-25,2023-08-19,116,58.0,58.0,0.0,15111.11,15111.67,60.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,906600.0,0.3333
MPLADS-000035,3,1429000.0,476333.33,476300.0,476300.0,476400.0,57.74,2022-04-27,2022-07-15,79,39.5,39.5,0.71,11908.33,11910.0,40.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,476400.0,0.3334
MPLADS-000036,3,5011000.0,1670333.33,1670300.0,1670300.0,1670400.0,57.74,2023-12-07,2024-05-17,162,81.0,81.0,0.0,23861.91,23862.86,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,1670400.0,0.3333
MPLADS-000037,3,1866000.0,622000.0,622000.0,622000.0,622000.0,0.0,2023-04-23,2024-03-08,320,160.0,160.0,0.0,11662.5,11662.5,53.3,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0,1,622000.0,0.3333
MPLADS-000038,2,670000.0,335000.0,335000.0,335000.0,335000.0,0.0,2023-03-14,2023-04-25,42,42.0,42.0,0.0,7444.44,7444.44,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,335000.0,0.5
MPLADS-000039,3,2501000.0,833666.67,833700.0,833600.0,833700.0,57.74,2022-09-05,2022-11-16,72,36.0,36.0,0.0,20841.67,20842.5,40.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,833600.0,0.3333
MPLADS-000040,3,1701000.0,567000.0,567000.0,567000.0,567000.0,0.0,2023-08-31,2023-11-27,88,44.0,44.0,0.0,14175.0,14175.0,40.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,567000.0,0.3333
MPLADS-000041,3,1632000.0,544000.0,544000.0,544000.0,544000.0,0.0,2022-06-12,2022-09-24,104,52.0,52.0,0.0,10880.0,10880.0,50.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,544000.0,0.3333
MPLADS-000042,2,565000.0,282500.0,282500.0,282500.0,282500.0,0.0,2023-12-10,2024-01-25,46,46.0,46.0,0.0,6277.78,6277.78,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,282500.0,0.5
MPLADS-000043,3,12844000.0,4281333.33,4281300.0,4281300.0,4281400.0,57.74,2023-02-12,2023-10-29,259,129.5,129.5,0.71,32110.0,32110.5,133.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,4281400.0,0.3333
MPLADS-000044,3,2337000.0,779000.0,779000.0,779000.0,779000.0,0.0,2024-01-04,2024-05-06,123,61.5,61.5,0.71,14606.25,14606.25,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,779000.0,0.3333
MPLADS-000045,2,293000.0,146500.0,146500.0,146500.0,146500.0,0.0,2023-03-31,2023-04-25,25,25.0,25.0,0.0,4883.33,4883.33,30.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,146500.0,0.5
MPLADS-000046,2,655000.0,327500.0,327500.0,327500.0,327500.0,0.0,2023-02-28,2023-04-05,36,36.0,36.0,0.0,10916.67,10916.67,30.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,327500.0,0.5
MPLADS-000047,3,1885000.0,628333.33,628300.0,628300.0,628400.0,57.74,2023-11-23,2024-05-02,161,80.5,80.5,0.71,8976.19,8977.14,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,628400.0,0.3334
MPLADS-000048,3,2868000.0,956000.0,956000.0,956000.0,956000.0,0.0,2022-11-26,2023-04-28,153,76.5,76.5,0.71,13657.14,13657.14,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,956000.0,0.3333
MPLADS-000049,3,2379000.0,793000.0,793000.0,793000.0,793000.0,0.0,2022-12-10,2023-03-22,102,51.0,51.0,0.0,14868.75,14868.75,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,793000.0,0.3333
MPLADS-000050,3,3520000.0,1173333.33,1173300.0,1173300.0,1173400.0,57.74,2022-07-20,2022-12-15,148,74.0,74.0,0.0,16761.91,16762.86,70.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,1173400.0,0.3334
MPLADS-000051,3,1356000.0,452000.0,452000.0,452000.0,452000.0,0.0,2023-08-28,2023-12-21,115,57.5,57.5,0.71,8475.0,8475.0,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,452000.0,0.3333
MPLADS-000052,3,1857000.0,619000.0,619000.0,619000.0,619000.0,0.0,2023-02-07,2023-12-24,320,160.0,160.0,0.0,11606.25,11606.25,53.3,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,619000.0,0.3333
MPLADS-000053,2,708000.0,354000.0,354000.0,354000.0,354000.0,0.0,2023-07-04,2023-08-17,44,44.0,44.0,0.0,7866.67,7866.67,45.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,354000.0,0.5
MPLADS-000054,2,521000.0,260500.0,260500.0,260500.0,260500.0,0.0,2023-03-16,2023-04-27,42,42.0,42.0,0.0,8683.33,8683.33,30.0,0.5,0,0.0,1,0.5,0,0.0,0,0.0,1,260500.0,0.5
MPLADS-000055,3,14769000.0,4923000.0,4923000.0,4923000.0,4923000.0,0.0,2024-01-04,2024-05-22,139,69.5,69.5,0.71,70328.57,70328.57,70.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,4923000.0,0.3333
MPLADS-000056,3,1322000.0,440666.67,440700.0,440600.0,440700.0,57.74,2023-04-23,2023-08-01,100,50.0,50.0,0.0,11016.67,11017.5,40.0,0.3334,0,0.0,0,0.0,0,0.0,0,0.0,1,440600.0,0.3333
MPLADS-000057,2,469000.0,234500.0,234500.0,234500.0,234500.0,0.0,2023-03-24,2023-05-09,46,46.0,46.0,0.0,7816.67,7816.67,30.0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,234500.0,0.5
MPLADS-000058,3,1887000.0,629000.0,629000.0,629000.0,629000.0,0.0,2022-09-17,2022-12-29,103,51.5,51.5,0.71,12580.0,12580.0,50.0,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,1,629000.0,0.3333
