project_id,progress_observation_count,latest_physical_progress,latest_financial_progress,latest_planned_progress,latest_completion_percentage,latest_progress_mismatch,latest_progress_gap,financial_minus_physical_progress,actual_vs_planned_progress,physical_progress_slope,financial_progress_slope,planned_progress_slope,progress_gap_slope,progress_velocity_latest,progress_acceleration_latest,latest_delay_days,max_delay_days,extension_count,planned_duration_days,actual_duration_days,duration_overrun_days,duration_overrun_ratio,geotag_available_rate,geotag_consistency_rate,measurement_book_verified_rate
MPLADS-000001,1,99.1,97.9,93.2,99.1,1.2,-1.2,-1.2,9.1,0.4631,0.0,0.0,0.0,0.4631,0.0453,0.0,0.0,0,180.0,214.0,34.0,1.1889,1.0,1.0,1.0
MPLADS-000002,1,70.5,96.7,89.1,70.5,26.2,26.2,26.2,-19.5,0.3406,0.0,0.0,0.0,0.3406,0.024,26.2,26.2,0,180.0,207.0,27.0,1.15,1.0,1.0,1.0
MPLADS-000003,1,74.8,89.2,84.8,74.8,14.4,14.4,14.4,-15.2,0.7262,0.0,0.0,0.0,0.7262,0.0475,14.4,14.4,0,90.0,103.0,13.0,1.1444,1.0,1.0,1.0
MPLADS-000004,1,89.7,86.4,93.2,89.7,3.3,-3.3,-3.3,-0.3,0.2086,0.0,0.0,0.0,0.2086,0.0232,0.0,0.0,0,400.0,430.0,30.0,1.075,1.0,1.0,1.0
MPLADS-000005,1,86.4,89.2,83.6,86.4,2.8,2.8,2.8,-3.6,0.5799,0.0,0.0,0.0,0.5799,0.0438,2.8,2.8,0,160.0,149.0,0.0,0.9313,1.0,1.0,1.0
MPLADS-000006,1,96.1,89.0,99.3,96.1,7.1,-7.1,-7.1,6.1,0.6537,0.0,0.0,0.0,0.6537,0.0407,0.0,0.0,0,150.0,147.0,0.0,0.98,1.0,1.0,1.0
MPLADS-000007,1,94.3,89.0,93.6,94.3,5.3,-5.3,-5.3,4.3,0.4427,0.0,0.0,0.0,0.4427,0.0105,0.0,0.0,0,210.0,213.0,3.0,1.0143,1.0,1.0,1.0
MPLADS-000008,1,93.2,85.0,93.2,93.2,8.2,-8.2,-8.2,3.2,0.4546,0.0,0.0,0.0,0.4546,0.0271,0.0,0.0,0,210.0,205.0,0.0,0.9762,1.0,1.0,1.0
MPLADS-000009,1,90.1,97.1,94.5,90.1,7.0,7.0,7.0,0.1,0.4095,0.0,0.0,0.0,0.4095,0.0328,7.0,7.0,0,210.0,220.0,10.0,1.0476,1.0,1.0,1.0
MPLADS-000010,1,86.3,95.9,81.8,86.3,9.6,9.6,9.6,-3.7,1.5691,0.0,0.0,0.0,1.5691,0.0359,9.6,9.6,0,60.0,55.0,0.0,0.9167,0.0,0.0,0.0
MPLADS-000011,1,90.3,88.7,86.3,90.3,1.6,-1.6,-1.6,0.3,1.1577,0.0,0.0,0.0,1.1577,0.0255,0.0,0.0,0,60.0,78.0,18.0,1.3,1.0,1.0,1.0
MPLADS-000012,1,87.3,85.9,91.8,87.3,1.4,-1.4,-1.4,-2.7,0.2069,0.0,0.0,0.0,0.2069,-0.014,0.0,0.0,0,400.0,422.0,22.0,1.055,1.0,1.0,1.0
MPLADS-000013,1,94.4,95.2,89.6,94.4,0.8,0.8,0.8,4.4,0.5244,0.0,0.0,0.0,0.5244,0.0482,0.8,0.8,0,160.0,180.0,20.0,1.125,1.0,1.0,1.0
MPLADS-000014,1,85.0,94.9,97.1,85.0,9.9,9.9,9.9,-5.0,0.6967,0.0,0.0,0.0,0.6967,0.0305,9.9,9.9,0,90.0,122.0,32.0,1.3556,1.0,1.0,1.0
MPLADS-000015,1,75.1,88.2,94.2,75.1,13.1,13.1,13.1,-14.9,0.3932,0.0,0.0,0.0,0.3932,0.0224,13.1,13.1,0,180.0,191.0,11.0,1.0611,1.0,1.0,1.0
MPLADS-000016,1,80.2,87.0,88.4,80.2,6.8,6.8,6.8,-9.8,0.3645,0.0,0.0,0.0,0.3645,0.0011,6.8,6.8,0,210.0,220.0,10.0,1.0476,1.0,1.0,1.0
MPLADS-000017,1,76.5,92.5,95.0,76.5,16.0,16.0,16.0,-13.5,0.3825,0.0,0.0,0.0,0.3825,0.0184,16.0,16.0,0,180.0,200.0,20.0,1.1111,1.0,1.0,1.0
MPLADS-000018,1,99.7,85.1,98.0,99.7,14.6,-14.6,-14.6,9.7,1.2159,0.0,0.0,0.0,1.2159,-0.0021,0.0,0.0,0,90.0,82.0,0.0,0.9111,1.0,1.0,1.0
MPLADS-000019,1,74.7,89.5,99.3,74.7,14.8,14.8,14.8,-15.3,0.3291,0.0,0.0,0.0,0.3291,0.0118,14.8,14.8,0,210.0,227.0,17.0,1.081,1.0,1.0,1.0
MPLADS-000020,1,88.2,92.6,94.4,88.2,4.4,4.4,4.4,-1.8,0.45,0.0,0.0,0.0,0.45,0.0241,4.4,4.4,0,210.0,196.0,0.0,0.9333,1.0,1.0,1.0
MPLADS-000021,1,95.9,86.5,84.0,95.9,9.4,-9.4,-9.4,5.9,0.8798,0.0,0.0,0.0,0.8798,0.0014,0.0,0.0,0,120.0,109.0,0.0,0.9083,1.0,1.0,1.0
MPLADS-000022,1,75.8,88.7,93.8,75.8,12.9,12.9,12.9,-14.2,0.7431,0.0,0.0,0.0,0.7431,-0.0112,12.9,12.9,0,90.0,102.0,12.0,1.1333,1.0,1.0,1.0
MPLADS-000023,1,84.9,92.6,98.6,84.9,7.7,7.7,7.7,-5.1,0.5736,0.0,0.0,0.0,0.5736,-0.0062,7.7,7.7,0,150.0,148.0,0.0,0.9867,1.0,1.0,1.0
MPLADS-000024,1,88.1,94.9,81.3,88.1,6.8,6.8,6.8,-1.9,0.2154,0.0,0.0,0.0,0.2154,0.0174,6.8,6.8,0,400.0,409.0,9.0,1.0225,1.0,1.0,1.0
MPLADS-000025,1,78.9,158.7,97.8,78.9,79.8,79.8,79.8,-11.1,0.1973,0.0,0.0,0.0,0.1973,0.0387,79.8,79.8,0,400.0,400.0,0.0,1.0,1.0,1.0,1.0
