project_id,fraud_probability,predicted_typology,feature_importance_contributions,scored_at
MPLADS-000001,0.0225,NORMAL,"{""max_anomaly_score"": 0.0548, ""project__planned_duration_days"": 0.0319, ""project_size_code"": 0.0}",2026-09-06T09:45:06.494738+00:00
MPLADS-000002,0.0314,NORMAL,"{""financial_anomaly_score"": 0.1675, ""payment_anomaly_score"": 0.1262, ""geospatial_anomaly_score"": 0.0796}",2026-09-06T09:45:06.494738+00:00
MPLADS-000003,0.0225,NORMAL,"{""financial__sanctioned_amount"": 0.2442, ""geo__infrastructure_gap_index"": 0.0889, ""geospatial_anomaly_percentile"": 0.0154}",2026-09-06T09:45:06.494738+00:00
MPLADS-000004,0.0182,NORMAL,"{""financial_anomaly_score"": 0.0706, ""project__planned_duration_days"": 0.0419, ""payment_anomaly_percentile"": 0.0391}",2026-09-06T09:45:06.494738+00:00
MPLADS-000005,0.0182,NORMAL,"{""project__planned_duration_days"": 0.0615, ""mean_anomaly_score"": 0.0599, ""geospatial_anomaly_percentile"": 0.0584}",2026-09-06T09:45:06.494738+00:00
MPLADS-000006,0.0182,NORMAL,"{""financial__sanctioned_amount"": 0.0695, ""geospatial_anomaly_score"": 0.0544, ""project__planned_duration_days"": 0.0376}",2026-09-06T09:45:06.494738+00:00
MPLADS-000007,0.0182,NORMAL,"{""geo__population_density"": 0.2149, ""project__planned_duration_days"": 0.0351, ""mean_anomaly_score"": 0.0197}",2026-09-06T09:45:06.494738+00:00
MPLADS-000008,0.0231,NORMAL,"{""project__planned_duration_days"": 0.0668, ""mean_anomaly_score"": 0.0316, ""graph_anomaly_score"": 0.0032}",2026-09-06T09:45:06.494738+00:00
MPLADS-000009,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.2701, ""financial_anomaly_score"": 0.1147, ""geo__population_density"": 0.1002}",2026-09-06T09:45:06.494738+00:00
MPLADS-000010,1.0,DOCUMENTATION_DEFICIT,"{""progress_anomaly_score"": 4.8689, ""progress_anomaly_percentile"": 0.8212, ""geo__population_density"": 0.1659}",2026-09-06T09:45:06.494738+00:00
MPLADS-000011,0.0225,NORMAL,"{""financial__sanctioned_amount"": 0.295, ""payment_anomaly_score"": 0.199, ""geo__infrastructure_gap_index"": 0.1261}",2026-09-06T09:45:06.494738+00:00
MPLADS-000012,0.0182,NORMAL,"{""financial_anomaly_score"": 0.1721, ""geo__population_density"": 0.0788, ""financial_anomaly_percentile"": 0.067}",2026-09-06T09:45:06.494738+00:00
MPLADS-000013,0.0442,NORMAL,"{""geospatial_anomaly_score"": 0.1124, ""geospatial_anomaly_percentile"": 0.0881, ""mean_anomaly_score"": 0.0707}",2026-09-06T09:45:06.494738+00:00
MPLADS-000014,0.011,NORMAL,"{""financial__sanctioned_amount"": 0.1279, ""payment_anomaly_score"": 0.0054, ""payment_anomaly_percentile"": 0.0027}",2026-09-06T09:45:06.494738+00:00
MPLADS-000015,0.3136,NORMAL,"{""procurement_anomaly_score"": 1.4666, ""procurement_anomaly_percentile"": 0.6652, ""max_anomaly_score"": 0.0691}",2026-09-06T09:45:06.494738+00:00
MPLADS-000016,0.0088,NORMAL,"{""financial_anomaly_percentile"": 0.056, ""financial_anomaly_score"": 0.0498, ""project__planned_duration_days"": 0.0373}",2026-09-06T09:45:06.494738+00:00
MPLADS-000017,0.3914,NORMAL,"{""procurement_anomaly_score"": 1.5001, ""procurement_anomaly_percentile"": 0.5762, ""geospatial_anomaly_score"": 0.2493}",2026-09-06T09:45:06.494738+00:00
MPLADS-000018,0.058,NORMAL,"{""geo__population_density"": 0.1674, ""contractor_anomaly_score"": 0.1087, ""financial__sanctioned_amount"": 0.1061}",2026-09-06T09:45:06.494738+00:00
MPLADS-000019,0.0314,NORMAL,"{""geospatial_anomaly_score"": 0.1313, ""project__planned_duration_days"": 0.0475, ""geo__population_density"": 0.0452}",2026-09-06T09:45:06.494738+00:00
MPLADS-000020,0.0182,NORMAL,"{""procurement_anomaly_percentile"": 0.3503, ""procurement_anomaly_score"": 0.3449, ""max_anomaly_score"": 0.0644}",2026-09-06T09:45:06.494738+00:00
MPLADS-000021,0.0225,NORMAL,"{""geo__population_density"": 0.1626, ""geospatial_anomaly_score"": 0.0967, ""geo__infrastructure_gap_index"": 0.0917}",2026-09-06T09:45:06.494738+00:00
MPLADS-000022,0.011,NORMAL,"{""financial__sanctioned_amount"": 0.1309, ""num_flagged_models"": 0.0014, ""project_size_code"": 0.0}",2026-09-06T09:45:06.494738+00:00
MPLADS-000023,0.0225,NORMAL,"{""project__planned_duration_days"": 0.0521, ""financial__sanctioned_amount"": 0.0516, ""geospatial_anomaly_score"": 0.0382}",2026-09-06T09:45:06.494738+00:00
MPLADS-000024,0.0314,NORMAL,"{""payment_anomaly_score"": 0.4093, ""financial_anomaly_score"": 0.1727, ""procurement_anomaly_percentile"": 0.1474}",2026-09-06T09:45:06.494738+00:00
MPLADS-000025,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.6889, ""progress_anomaly_percentile"": 0.8739, ""procurement_anomaly_score"": 0.4233}",2026-09-06T09:45:06.494738+00:00
MPLADS-000026,1.0,PAYMENT_PROGRESS_MISMATCH,"{""progress_anomaly_score"": 4.5823, ""progress_anomaly_percentile"": 0.8624, ""payment_anomaly_score"": 0.3257}",2026-09-06T09:45:06.494738+00:00
MPLADS-000027,0.0225,NORMAL,"{""geo__infrastructure_gap_index"": 0.2009, ""procurement_anomaly_percentile"": 0.0539, ""project__planned_duration_days"": 0.051}",2026-09-06T09:45:06.494738+00:00
MPLADS-000028,0.0182,NORMAL,"{""financial__sanctioned_amount"": 0.1569, ""financial_anomaly_score"": 0.0715, ""financial_anomaly_percentile"": 0.069}",2026-09-06T09:45:06.494738+00:00
MPLADS-000029,0.5278,PROCUREMENT_SINGLE_BID,"{""procurement_anomaly_score"": 1.8176, ""procurement_anomaly_percentile"": 0.765, ""max_anomaly_score"": 0.1552}",2026-09-06T09:45:06.494738+00:00
MPLADS-000030,0.0231,NORMAL,"{""geospatial_anomaly_score"": 0.1174, ""project__planned_duration_days"": 0.0785, ""geospatial_anomaly_percentile"": 0.0349}",2026-09-06T09:45:06.494738+00:00
MPLADS-000031,0.0314,NORMAL,"{""geo__population_density"": 0.372, ""financial__sanctioned_amount"": 0.1151, ""financial_anomaly_percentile"": 0.06}",2026-09-06T09:45:06.494738+00:00
MPLADS-000032,0.0153,NORMAL,"{""financial__sanctioned_amount"": 0.1746, ""graph_anomaly_score"": 0.0722, ""payment_anomaly_percentile"": 0.0253}",2026-09-06T09:45:06.494738+00:00
MPLADS-000033,0.5278,PROCUREMENT_SINGLE_BID,"{""procurement_anomaly_score"": 1.8489, ""procurement_anomaly_percentile"": 0.8247, ""max_anomaly_score"": 0.1606}",2026-09-06T09:45:06.494738+00:00
MPLADS-000034,0.0225,NORMAL,"{""contractor_anomaly_percentile"": 0.1042, ""project__planned_duration_days"": 0.0538, ""geospatial_anomaly_score"": 0.0449}",2026-09-06T09:45:06.494738+00:00
MPLADS-000035,0.0182,NORMAL,"{""financial__sanctioned_amount"": 0.0512, ""graph_anomaly_score"": 0.0177, ""graph_anomaly_percentile"": 0.0127}",2026-09-06T09:45:06.494738+00:00
MPLADS-000036,1.0,COST_OVERRUN,"{""progress_anomaly_score"": 4.384, ""progress_anomaly_percentile"": 0.8303, ""procurement_anomaly_score"": 0.3089}",2026-09-06T09:45:06.494738+00:00
MPLADS-000037,1.0,DELAYED_WORK,"{""progress_anomaly_score"": 5.1056, ""progress_anomaly_percentile"": 0.9002, ""financial_anomaly_score"": 0.1869}",2026-09-06T09:45:06.494738+00:00
MPLADS-000038,0.2283,NORMAL,"{""financial__sanctioned_amount"": 0.3716, ""contractor_anomaly_percentile"": 0.3278, ""contractor_anomaly_score"": 0.2823}",2026-09-06T09:45:06.494738+00:00
MPLADS-000039,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.0356, ""num_flagged_models"": 0.0014, ""project_size_code"": 0.0}",2026-09-06T09:45:06.494738+00:00
MPLADS-000040,0.0231,NORMAL,"{""procurement_anomaly_percentile"": 0.118, ""geo__infrastructure_gap_index"": 0.0841, ""financial__sanctioned_amount"": 0.048}",2026-09-06T09:45:06.494738+00:00
MPLADS-000041,0.0287,NORMAL,"{""contractor_anomaly_percentile"": 0.1781, ""contractor_anomaly_score"": 0.1242, ""geo__population_density"": 0.1199}",2026-09-06T09:45:06.494738+00:00
MPLADS-000042,0.0231,NORMAL,"{""geo__population_density"": 0.2092, ""financial__sanctioned_amount"": 0.1894, ""mean_anomaly_score"": 0.0896}",2026-09-06T09:45:06.494738+00:00
MPLADS-000043,0.0182,NORMAL,"{""geo__infrastructure_gap_index"": 0.1538, ""geo__population_density"": 0.0759, ""std_anomaly_score"": 0.0697}",2026-09-06T09:45:06.494738+00:00
MPLADS-000044,0.0231,NORMAL,"{""procurement_anomaly_percentile"": 0.1279, ""project__planned_duration_days"": 0.0533, ""geospatial_anomaly_score"": 0.0261}",2026-09-06T09:45:06.494738+00:00
MPLADS-000045,1.0,ABANDONED_WORK,"{""progress_anomaly_score"": 5.3283, ""progress_anomaly_percentile"": 0.8856, ""financial_anomaly_score"": 0.1667}",2026-09-06T09:45:06.494738+00:00
