WORK_ID,MP_NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED_DATE,ALLOCATION_AMOUNT,IDA_APPROVAL,STATUS,HOUSE,is_fraud,fraud_type
39e59513,MP 0274,NA - renovation of government school building,Normal/Others,Rajasthan,Rajasthan Constituency 274,IDA 0075,,Ward 25,,,2023-04-30,710172,Approved by IDA,Sanctioned,Rajya Sabha,1,ghost_project
d5640fa4,MP 0024,NA - construction of drainage system,Normal/Others,Assam,Assam Constituency 24,IDA 0156,,,,,2023-08-01,8514115,Action Pending,Unsanctioned,Lok Sabha,1,overpricing
bde539c1,MP 0037,NA - installation of RO water purification unit,Normal/Others,Kerala,Kerala Constituency 37,IDA 0177,,,,,2023-08-31,273487,Approved by IDA,Unsanctioned,Lok Sabha,0,
7b51767c,MP 0199,NA - construction of community hall,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 199,IDA 0251,,,,Village 33,2023-10-27,1771388,Approved by IDA,Sanctioned,Lok Sabha,0,
1177975e,MP 0079,NA - construction of community hall,Normal/Others,Gujarat,Gujarat Constituency 79,IDA 0302,,Ward 8,Block 12,,2023-07-06,3091361,Approved by IDA,Unsanctioned,Lok Sabha,0,
ab23a98a,MP 0202,NA - installation of RO water purification unit,Normal/Others,Karnataka,Karnataka Constituency 202,IDA 0274,,,Block 4,,2023-10-02,275168,Approved by IDA,Unsanctioned,Lok Sabha,1,duplicate
a905d7b9,MP 0062,NA - construction of cremation ground shed,Normal/Others,Kerala,Kerala Constituency 62,IDA 0235,,,,Village 19,2024-01-18,481574,Action Pending,Unsanctioned,Lok Sabha,0,
b6a17dd3,MP 0211,NA - repair of internal roads,Normal/Others,Rajasthan,Rajasthan Constituency 211,IDA 0006,,Ward 25,,,2023-12-02,2208770,Action Pending,Unsanctioned,Lok Sabha,0,
74af3a61,MP 0208,NA - construction of drainage system,Normal/Others,Karnataka,Karnataka Constituency 208,IDA 0321,,Ward 15,,Village 69,2023-05-06,1532201,Approved by IDA,Unsanctioned,Lok Sabha,0,
2a57d602,MP 0156,NA - installation of CCTV surveillance system,Normal/Others,Punjab,Punjab Constituency 156,IDA 0066,,,Block 6,,2024-01-05,576421,Action Pending,Ongoing,Rajya Sabha,0,
5256855a,MP 0238,NA - installation of RO water purification unit,Normal/Others,Assam,Assam Constituency 238,IDA 0177,,,,Village 63,2023-05-16,263027,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
01e9c405,MP 0043,NA - installation of CCTV surveillance system,Normal/Others,Maharashtra,Maharashtra Constituency 43,IDA 0076,,Ward 22,Block 2,Village 82,2023-08-17,504025,Action Pending,Unsanctioned,Lok Sabha,0,
61c64a43,MP 0187,NA - installation of CCTV surveillance system,Normal/Others,Assam,Assam Constituency 187,IDA 0241,,Ward 11,,,2023-08-15,491590,Rejected by IDA,Unsanctioned,Lok Sabha,0,
c17be162,MP 0207,NA - repair of internal roads,Normal/Others,Chhattisgarh,Chhattisgarh Constituency 207,IDA 0324,,,,Village 43,2023-08-19,1972034,Action Pending,Unsanctioned,Lok Sabha,0,
baa3beff,MP 0051,NA - construction of cremation ground shed,Normal/Others,Uttarakhand,Uttarakhand Constituency 51,IDA 0062,,Ward 13,Block 1,,2023-12-20,415016,Action Pending,Completed,Lok Sabha,0,
0a1d76fa,MP 0115,NA - development of public park,Normal/Others,West Bengal,West Bengal Constituency 115,IDA 0065,,,Block 14,,2023-06-20,1495706,Approved by IDA,Unsanctioned,Lok Sabha,0,
8d705c23,MP 0039,NA - repair of drinking water supply pipeline,Normal/Others,Telangana,Telangana Constituency 39,IDA 0283,,Ward 25,,,2024-03-11,820326,Approved by IDA,Completed,Lok Sabha,0,
58a0492c,MP 0221,NA - construction of boundary wall for school,Normal/Others,West Bengal,West Bengal Constituency 221,IDA 0296,,,Block 4,,2023-07-16,471857,Action Pending,Unsanctioned,Lok Sabha,0,
31f802c4,MP 0001,NA - development of public park,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 1,IDA 0179,,,,Village 22,2023-08-21,981215,Approved by IDA,Completed,Rajya Sabha,1,structuring
3d49015d,MP 0127,NA - construction of public toilet complex,Normal/Others,Haryana,Haryana Constituency 127,IDA 0037,,,Block 8,Village 27,2023-07-16,514077,Approved by IDA,Unsanctioned,Rajya Sabha,0,
bc6a6f4d,MP 0063,NA - repair of internal roads,Normal/Others,Gujarat,Gujarat Constituency 63,IDA 0237,,,Block 4,Village 98,2023-11-22,1661900,Action Pending,Unsanctioned,Lok Sabha,0,
ae649c0d,MP 0007,NA - construction of boundary wall for school,Normal/Others,Haryana,Haryana Constituency 7,IDA 0261,,,Block 12,,2023-07-03,480533,Approved by IDA,Unsanctioned,Lok Sabha,0,
165929b8,MP 0208,NA - construction of drainage system,Normal/Others,Karnataka,Karnataka Constituency 208,IDA 0205,,,Block 9,Village 100,2023-05-14,1229490,Action Pending,Unsanctioned,Lok Sabha,0,
8e41b9e0,MP 0142,NA – construction of boundary wall for school (Phase 2),Normal/Others,Chhattisgarh,Chhattisgarh Constituency 142,IDA 0219,,,Block 11,,2023-07-17,803693,Action Pending,Unsanctioned,Lok Sabha,1,duplicate
66ad65b3,MP 0190,NA - installation of CCTV surveillance system,Normal/Others,Karnataka,Karnataka Constituency 190,IDA 0179,,Ward 30,,Village 13,2023-04-02,330095,Action Pending,Unsanctioned,Lok Sabha,0,
0e9c0a6f,MP 0280,NA - installation of street lights,Normal/Others,Maharashtra,Maharashtra Constituency 280,IDA 0367,,Ward 27,Block 13,,2023-05-14,195295,Approved by IDA,Unsanctioned,Rajya Sabha,0,
b48f2d13,MP 0069,NA - installation of solar street lights,Normal/Others,Rajasthan,Rajasthan Constituency 69,IDA 0120,,,,,2023-10-29,384854,Action Pending,Unsanctioned,Lok Sabha,0,
c3be6b77,MP 0251,NA - installation of solar street lights,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 251,IDA 0005,,,,,2023-05-09,308010,Approved by IDA,Sanctioned,Lok Sabha,1,ghost_project
b74523b8,MP 0109,NA - installation of street lights,Normal/Others,Karnataka,Karnataka Constituency 109,IDA 0279,,,,,2023-11-26,267099,Action Pending,Unsanctioned,Lok Sabha,0,
b98103d4,MP 0210,NA - construction of boundary wall for school,Normal/Others,Punjab,Punjab Constituency 210,IDA 0262,,,Block 5,Village 25,2023-07-25,798263,Action Pending,Unsanctioned,Rajya Sabha,0,
099b314c,MP 0269,NA - installation of RO water purification unit,Normal/Others,Haryana,Haryana Constituency 269,IDA 0254,,Ward 26,,,2023-09-01,155111,Approved by IDA,Unsanctioned,Lok Sabha,0,
c208c1b8,MP 0202,NA - installation of RO water purification unit,Normal/Others,Karnataka,Karnataka Constituency 202,IDA 0322,,,,,2023-10-18,307655,Action Pending,Unsanctioned,Lok Sabha,0,
47118eab,MP 0128,NA - repair and renovation of anganwadi center,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 128,IDA 0048,,Ward 3,Block 2,,2023-04-22,490309,Approved by IDA,Unsanctioned,Lok Sabha,0,
951ca718,MP 0136,NA - development of public park,Normal/Others,Tamil Nadu,Tamil Nadu Constituency 136,IDA 0114,,,,Village 98,2024-02-03,1112683,Approved by IDA,Unsanctioned,Lok Sabha,0,
770026b8,MP 0267,NA - installation of RO water purification unit,Normal/Others,Andhra Pradesh,Andhra Pradesh Constituency 267,IDA 0074,,Ward 6,,Village 52,2023-12-19,330133,Approved by IDA,Unsanctioned,Rajya Sabha,0,
9be0bfce,MP 0221,NA - installation of hand pumps and borewells,Normal/Others,West Bengal,West Bengal Constituency 221,IDA 0111,,,,Village 53,2023-11-13,90668,Action Pending,Unsanctioned,Lok Sabha,0,
ac3a3d7d,MP 0148,NA - installation of hand pumps and borewells,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 148,IDA 0230,,Ward 22,Block 3,Village 14,2023-11-01,169642,Approved by IDA,Sanctioned,Lok Sabha,0,
b9103697,MP 0032,NA - renovation of government school building,Normal/Others,Madhya Pradesh,Madhya Pradesh Constituency 32,IDA 0292,,,Block 15,,2023-06-09,9229986,Action Pending,Completed,Lok Sabha,1,overpricing
27cef239,MP 0046,NA - repair and renovation of anganwadi center,Normal/Others,West Bengal,West Bengal Constituency 46,IDA 0254,,Ward 23,,,2023-11-15,225820,Action Pending,Unsanctioned,Lok Sabha,0,
c2a972e0,MP 0033,NA - construction of drainage system,Normal/Others,Rajasthan,Rajasthan Constituency 33,IDA 0194,,,,,2023-12-20,588209,Approved by IDA,Sanctioned,Lok Sabha,0,
9911a78e,MP 0128,NA - construction of public toilet complex,Normal/Others,Uttar Pradesh,Uttar Pradesh Constituency 128,IDA 0236,,,,,2023-06-24,434664,Action Pending,Unsanctioned,Lok Sabha,0,
190683ff,MP 0083,NA - development of public park,Normal/Others,Maharashtra,Maharashtra Constituency 83,IDA 0092,,,,Village 86,2023-12-28,1185974,Action Pending,Unsanctioned,Lok Sabha,0,
